Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024.0,Manav Suthar,1.0,0.0,1.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,26.0,0.0,0/26,0.0,13.0,0.0,0.0,0.0
2024.0,Manish Pandey,171.0,27.0,3850.0,94.0,26.74,3179.0,121.11,1.0,22.0,335.0,110.0,86.0,0.0,168.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Marco Jansen,21.0,6.0,66.0,17.0,4.4,66.0,100.0,0.0,0.0,5.0,2.0,13.0,0.0,21.0,450.0,715.0,20.0,2/16,35.75,9.53,22.5,0.0,0.0
2024.0,Marcus Stoinis,96.0,22.0,1866.0,65.0,25.22,1314.0,142.01,1.0,9.0,150.0,91.0,24.0,0.0,96.0,803.0,1274.0,43.0,3/26,29.63,9.52,18.67,1.0,0.0
2024.0,Matheesha Pathirana,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,451.0,592.0,34.0,3/15,17.41,7.88,13.26,1.0,0.0
2024.0,Mayank Markande,37.0,8.0,48.0,6.0,1.66,42.0,114.29,0.0,0.0,5.0,1.0,8.0,0.0,37.0,720.0,1069.0,37.0,4/23,28.89,8.91,19.46,2.0,0.0
2024.0,Mayank Yadav,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,73.0,85.0,7.0,3/14,12.14,6.99,10.43,0.0,0.0
2024.0,Mitchell Marsh,42.0,2.0,666.0,89.0,16.65,521.0,127.83,0.0,3.0,48.0,38.0,10.0,0.0,42.0,560.0,795.0,37.0,4/27,21.49,8.52,15.14,2.0,0.0
2024.0,Mitchell Santner,18.0,5.0,70.0,22.0,5.38,71.0,98.59,0.0,0.0,4.0,3.0,6.0,0.0,18.0,366.0,422.0,15.0,1/15,28.13,6.92,24.4,0.0,0.0
2024.0,Mitchell Starc,40.0,8.0,105.0,29.0,3.28,109.0,96.33,0.0,0.0,11.0,0.0,22.0,0.0,41.0,831.0,1137.0,51.0,4/15,22.29,8.21,16.29,2.0,0.0
